,ilkid,year,firstname,lastname,team,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm,count,gp_cumsum,avg_gp,minutes_cumsum,avg_minutes,pts_cumsum,avg_pts,oreb_cumsum,avg_oreb,dreb_cumsum,avg_dreb,reb_cumsum,avg_reb,asts_cumsum,avg_asts,stl_cumsum,avg_stl,blk_cumsum,avg_blk,turnover_cumsum,avg_turnover,pf_cumsum,avg_pf,fga_cumsum,avg_fga,fgm_cumsum,avg_fgm,fta_cumsum,avg_fta,ftm_cumsum,avg_ftm,tpa_cumsum,avg_tpa,tpm_cumsum,avg_tpm
13816,ABDULMA01,1995,Mahmo,Abdul-rauf,DEN,N,57,35.6,19.21,0.46,1.96,2.42,6.82,1.12,0.05,2.02,2.05,16.75,7.26,2.75,2.56,5.42,2.12,1,57,57.0,35.6,35.6,19.21,19.21,0.46,0.46,1.96,1.96,2.42,2.42,6.82,6.82,1.12,1.12,0.05,0.05,2.02,2.02,2.05,2.05,16.75,16.75,7.26,7.26,2.75,2.75,2.56,2.56,5.42,5.42,2.12,2.12
14188,PIPPESC01,1995,Scottie,Pippen,CHI,N,77,36.69,19.43,1.97,4.47,6.44,5.87,1.73,0.74,2.69,2.57,15.79,7.31,4.21,2.86,5.21,1.95,1,77,77.0,36.69,36.69,19.43,19.43,1.97,1.97,4.47,4.47,6.44,6.44,5.87,5.87,1.73,1.73,0.74,0.74,2.69,2.69,2.57,2.57,15.79,15.79,7.31,7.31,4.21,4.21,2.86,2.86,5.21,5.21,1.95,1.95
14187,PINCKED01,1995,Ed,Pinckney,PHI,N,27,25.15,5.56,2.74,3.78,6.52,0.81,1.22,0.41,0.85,2.04,3.78,2.0,2.04,1.56,0.0,0.0,1,27,27.0,25.15,25.15,5.56,5.56,2.74,2.74,3.78,3.78,6.52,6.52,0.81,0.81,1.22,1.22,0.41,0.41,0.85,0.85,2.04,2.04,3.78,3.78,2.0,2.0,2.04,2.04,1.56,1.56,0.0,0.0,0.0,0.0
14186,PINCKED01,1995,Ed,Pinckney,TOT,N,74,23.11,6.46,2.55,3.64,6.19,0.97,0.86,0.38,1.04,2.11,4.53,2.31,2.42,1.84,0.04,0.0,2,101,50.5,48.26,24.13,12.02,6.01,5.29,2.645,7.42,3.71,12.71,6.355,1.78,0.89,2.08,1.04,0.79,0.395,1.8900000000000001,0.9450000000000001,4.15,2.075,8.31,4.155,4.3100000000000005,2.1550000000000002,4.46,2.23,3.4000000000000004,1.7000000000000002,0.04,0.02,0.0,0.0
14185,PINCKED01,1995,Ed,Pinckney,TOR,N,47,21.94,6.98,2.45,3.55,6.0,1.06,0.66,0.36,1.15,2.15,4.96,2.49,2.64,2.0,0.06,0.0,3,148,49.333333333333336,70.2,23.400000000000002,19.0,6.333333333333333,7.74,2.58,10.969999999999999,3.6566666666666663,18.71,6.236666666666667,2.84,0.9466666666666667,2.74,0.9133333333333334,1.15,0.3833333333333333,3.04,1.0133333333333334,6.3,2.1,13.27,4.423333333333333,6.800000000000001,2.266666666666667,7.1,2.3666666666666667,5.4,1.8,0.1,0.03333333333333333,0.0,0.0
14184,PIERCRI01,1995,Ricky,Pierce,IND,N,76,18.47,9.7,0.53,1.26,1.79,1.33,0.75,0.08,1.22,2.47,7.76,3.47,2.7,2.29,1.37,0.46,1,76,76.0,18.47,18.47,9.7,9.7,0.53,0.53,1.26,1.26,1.79,1.79,1.33,1.33,0.75,0.75,0.08,0.08,1.22,1.22,2.47,2.47,7.76,7.76,3.47,3.47,2.7,2.7,2.29,2.29,1.37,1.37,0.46,0.46
14183,PIATKER01,1995,Eric,Piatkowski,LAC,N,65,12.06,4.63,0.62,0.97,1.58,0.74,0.37,0.15,0.69,1.29,3.72,1.51,1.26,1.03,1.75,0.58,1,65,65.0,12.06,12.06,4.63,4.63,0.62,0.62,0.97,0.97,1.58,1.58,0.74,0.74,0.37,0.37,0.15,0.15,0.69,0.69,1.29,1.29,3.72,3.72,1.51,1.51,1.26,1.26,1.03,1.03,1.75,1.75,0.58,0.58
14182,PHILLBO01,1995,Bobby,Phills,CLE,N,72,35.14,14.6,0.86,2.76,3.62,3.76,1.42,0.38,1.75,2.67,11.47,5.36,3.33,2.58,2.93,1.29,1,72,72.0,35.14,35.14,14.6,14.6,0.86,0.86,2.76,2.76,3.62,3.62,3.76,3.76,1.42,1.42,0.38,0.38,1.75,1.75,2.67,2.67,11.47,11.47,5.36,5.36,3.33,3.33,2.58,2.58,2.93,2.93,1.29,1.29
14181,PERSOWE01,1995,Wesley,Person,PHO,N,82,31.82,12.74,0.68,3.23,3.91,1.68,0.67,0.27,1.09,1.8,10.7,4.76,2.34,1.8,3.82,1.43,1,82,82.0,31.82,31.82,12.74,12.74,0.68,0.68,3.23,3.23,3.91,3.91,1.68,1.68,0.67,0.67,0.27,0.27,1.09,1.09,1.8,1.8,10.7,10.7,4.76,4.76,2.34,2.34,1.8,1.8,3.82,3.82,1.43,1.43
14180,PERSOCH01,1995,Chuck,Person,SAS,N,80,26.64,10.91,0.95,4.21,5.16,1.25,0.61,0.32,1.14,2.46,8.81,3.85,1.3,0.84,5.79,2.38,1,80,80.0,26.64,26.64,10.91,10.91,0.95,0.95,4.21,4.21,5.16,5.16,1.25,1.25,0.61,0.61,0.32,0.32,1.14,1.14,2.46,2.46,8.81,8.81,3.85,3.85,1.3,1.3,0.84,0.84,5.79,5.79,2.38,2.38
14179,PERRYTI01,1995,Tim,Perry,NJN,N,22,7.59,2.36,0.68,0.91,1.59,0.27,0.09,0.45,0.32,0.5,2.14,1.05,0.27,0.14,0.32,0.14,1,22,22.0,7.59,7.59,2.36,2.36,0.68,0.68,0.91,0.91,1.59,1.59,0.27,0.27,0.09,0.09,0.45,0.45,0.32,0.32,0.5,0.5,2.14,2.14,1.05,1.05,0.27,0.27,0.14,0.14,0.32,0.32,0.14,0.14
14178,PERRYTI01,1995,Tim,Perry,PHI,N,8,10.88,2.38,0.75,0.88,1.62,0.25,0.25,0.38,0.38,0.62,2.25,1.0,0.38,0.25,0.12,0.12,2,30,15.0,18.47,9.235,4.74,2.37,1.4300000000000002,0.7150000000000001,1.79,0.895,3.21,1.605,0.52,0.26,0.33999999999999997,0.16999999999999998,0.8300000000000001,0.41500000000000004,0.7,0.35,1.12,0.56,4.390000000000001,2.1950000000000003,2.05,1.025,0.65,0.325,0.39,0.195,0.44,0.22,0.26,0.13
14177,PERRYTI01,1995,Tim,Perry,TOT,N,30,8.47,2.37,0.7,0.9,1.6,0.27,0.13,0.43,0.33,0.53,2.17,1.03,0.3,0.17,0.27,0.13,3,60,20.0,26.94,8.98,7.109999999999999,2.3699999999999997,2.13,0.71,2.69,0.8966666666666666,4.8100000000000005,1.6033333333333335,0.79,0.26333333333333336,0.47,0.15666666666666665,1.26,0.42,1.03,0.3433333333333333,1.65,0.5499999999999999,6.5600000000000005,2.186666666666667,3.08,1.0266666666666666,0.95,0.31666666666666665,0.56,0.18666666666666668,0.71,0.23666666666666666,0.39,0.13
14176,PERRYEL01,1995,Elliot,Perry,PHO,N,81,20.59,8.6,0.42,1.26,1.68,4.36,1.07,0.06,1.8,1.73,6.78,3.22,2.4,1.86,0.73,0.3,1,81,81.0,20.59,20.59,8.6,8.6,0.42,0.42,1.26,1.26,1.68,1.68,4.36,4.36,1.07,1.07,0.06,0.06,1.8,1.8,1.73,1.73,6.78,6.78,3.22,3.22,2.4,2.4,1.86,1.86,0.73,0.73,0.3,0.3
14175,PERKISA01,1995,Sam,Perkins,SEA,N,82,26.45,11.83,1.23,3.24,4.48,1.46,1.01,0.59,1.0,2.12,9.72,3.96,2.94,2.33,4.43,1.57,1,82,82.0,26.45,26.45,11.83,11.83,1.23,1.23,3.24,3.24,4.48,4.48,1.46,1.46,1.01,1.01,0.59,0.59,1.0,1.0,2.12,2.12,9.72,9.72,3.96,3.96,2.94,2.94,2.33,2.33,4.43,4.43,1.57,1.57
14189,POLYNOL01,1995,Olden,Polynice,SAC,N,81,30.14,12.16,3.17,6.26,9.43,0.72,0.64,0.81,1.57,3.09,10.1,5.32,2.51,1.51,0.04,0.01,1,81,81.0,30.14,30.14,12.16,12.16,3.17,3.17,6.26,6.26,9.43,9.43,0.72,0.72,0.64,0.64,0.81,0.81,1.57,1.57,3.09,3.09,10.1,10.1,5.32,5.32,2.51,2.51,1.51,1.51,0.04,0.04,0.01,0.01
14174,PERDUWI01,1995,Will,Perdue,SAS,N,80,17.45,5.16,2.19,3.88,6.06,0.41,0.35,0.94,1.08,2.29,4.14,2.16,1.56,0.84,0.01,0.0,1,80,80.0,17.45,17.45,5.16,5.16,2.19,2.19,3.88,3.88,6.06,6.06,0.41,0.41,0.35,0.35,0.94,0.94,1.08,1.08,2.29,2.29,4.14,4.14,2.16,2.16,1.56,1.56,0.84,0.84,0.01,0.01,0.0,0.0
14172,PEPLOMI01,1995,Mike,Peplowski,TOT,N,7,2.43,1.0,0.14,0.43,0.57,0.14,0.14,0.29,0.29,1.43,0.71,0.43,0.43,0.14,0.0,0.0,1,7,7.0,2.43,2.43,1.0,1.0,0.14,0.14,0.43,0.43,0.57,0.57,0.14,0.14,0.14,0.14,0.29,0.29,0.29,0.29,1.43,1.43,0.71,0.71,0.43,0.43,0.43,0.43,0.14,0.14,0.0,0.0,0.0,0.0
14171,PEPLOMI01,1995,Mike,Peplowski,WA1,N,2,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2,9,4.5,4.93,2.465,1.0,0.5,0.14,0.07,0.43,0.215,0.57,0.285,0.14,0.07,0.14,0.07,0.29,0.145,0.29,0.145,3.4299999999999997,1.7149999999999999,0.71,0.355,0.43,0.215,0.43,0.215,0.14,0.07,0.0,0.0,0.0,0.0
14170,PEELEAN01,1995,Anthony,Peeler,LAL,N,73,22.03,9.73,0.62,1.26,1.88,1.62,0.81,0.14,0.77,1.9,8.25,3.73,1.18,0.84,3.48,1.44,1,73,73.0,22.03,22.03,9.73,9.73,0.62,0.62,1.26,1.26,1.88,1.88,1.62,1.62,0.81,0.81,0.14,0.14,0.77,0.77,1.9,1.9,8.25,8.25,3.73,3.73,1.18,1.18,0.84,0.84,3.48,3.48,1.44,1.44
14169,PAYTOGA01,1995,Gary,Payton,SEA,N,81,39.04,19.3,1.28,2.9,4.19,7.51,2.85,0.23,3.21,2.73,15.75,7.63,3.78,2.83,3.69,1.21,1,81,81.0,39.04,39.04,19.3,19.3,1.28,1.28,2.9,2.9,4.19,4.19,7.51,7.51,2.85,2.85,0.23,0.23,3.21,3.21,2.73,2.73,15.75,15.75,7.63,7.63,3.78,3.78,2.83,2.83,3.69,3.69,1.21,1.21
14168,PARKSCH01,1995,Cherokee,Parks,DAL,N,64,13.58,3.91,1.03,2.34,3.38,0.45,0.39,0.5,0.48,1.56,3.86,1.58,0.97,0.64,0.41,0.11,1,64,64.0,13.58,13.58,3.91,3.91,1.03,1.03,2.34,2.34,3.38,3.38,0.45,0.45,0.39,0.39,0.5,0.5,0.48,0.48,1.56,1.56,3.86,3.86,1.58,1.58,0.97,0.97,0.64,0.64,0.41,0.41,0.11,0.11
14167,PARISRO01,1995,Robert,Parish,CHA,N,74,14.68,3.92,1.2,2.89,4.09,0.39,0.28,0.73,0.68,1.08,3.26,1.62,0.96,0.68,0.0,0.0,1,74,74.0,14.68,14.68,3.92,3.92,1.2,1.2,2.89,2.89,4.09,4.09,0.39,0.39,0.28,0.28,0.73,0.73,0.68,0.68,1.08,1.08,3.26,3.26,1.62,1.62,0.96,0.96,0.68,0.68,0.0,0.0,0.0,0.0
14166,PACKRO01,1995,Robert,Pack,WA1,N,31,34.97,18.06,0.94,3.32,4.26,7.81,2.0,0.03,3.68,2.19,14.32,6.13,5.87,4.97,3.16,0.84,1,31,31.0,34.97,34.97,18.06,18.06,0.94,0.94,3.32,3.32,4.26,4.26,7.81,7.81,2.0,2.0,0.03,0.03,3.68,3.68,2.19,2.19,14.32,14.32,6.13,6.13,5.87,5.87,4.97,4.97,3.16,3.16,0.84,0.84
14165,OWENSBI01,1995,Billy,Owens,SAC,N,22,27.0,9.91,2.23,3.45,5.68,3.18,0.86,0.73,2.32,2.73,9.09,3.82,3.18,2.05,0.55,0.23,1,22,22.0,27.0,27.0,9.91,9.91,2.23,2.23,3.45,3.45,5.68,5.68,3.18,3.18,0.86,0.86,0.73,0.73,2.32,2.32,2.73,2.73,9.09,9.09,3.82,3.82,3.18,3.18,2.05,2.05,0.55,0.55,0.23,0.23
14164,OWENSBI01,1995,Billy,Owens,TOT,N,62,31.97,13.03,2.31,4.32,6.63,3.29,0.79,0.61,2.65,3.1,10.85,5.21,3.98,2.53,0.29,0.08,2,84,42.0,58.97,29.485,22.939999999999998,11.469999999999999,4.54,2.27,7.7700000000000005,3.8850000000000002,12.309999999999999,6.154999999999999,6.470000000000001,3.2350000000000003,1.65,0.825,1.3399999999999999,0.6699999999999999,4.97,2.485,5.83,2.915,19.939999999999998,9.969999999999999,9.03,4.515,7.16,3.58,4.58,2.29,0.8400000000000001,0.42000000000000004,0.31,0.155
