,ilkid,year,firstname,lastname,team,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
0,ABRAMJO01,1946,John,Abramovic,PIT,N,47,0.0,11.21,0.0,0.0,0.0,0.74,0.0,0.0,0.0,3.43,17.74,4.3,3.79,2.62,0.0,0.0
1,AUBUCCH01,1946,Chet,Aubuchon,DE1,N,30,0.0,2.17,0.0,0.0,0.0,0.67,0.0,0.0,0.0,1.53,3.03,0.77,1.17,0.63,0.0,0.0
2,BAKERNO01,1946,Norm,Baker,CH1,N,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
3,BALTIHE01,1946,Herschel,Baltimore,ST1,N,58,0.0,2.38,0.0,0.0,0.0,0.28,0.0,0.0,0.0,1.69,4.53,0.91,1.19,0.55,0.0,0.0
4,BARRJO01,1946,John,Barr,ST1,N,58,0.0,5.09,0.0,0.0,0.0,0.93,0.0,0.0,0.0,2.83,7.55,2.14,1.36,0.81,0.0,0.0
5,BAUMHFR01,1946,Frankie,Baumholtz,CL1,N,45,0.0,14.02,0.0,0.0,0.0,1.2,0.0,0.0,0.0,2.07,19.02,5.67,3.47,2.69,0.0,0.0
6,BECKEMO01,1946,Moe,Becker,BOS,N,6,0.0,2.17,0.0,0.0,0.0,0.17,0.0,0.0,0.0,2.5,3.67,0.83,0.67,0.5,0.0,0.0
7,BECKEMO01,1946,Moe,Becker,DE1,N,20,0.0,2.05,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.65,5.35,0.95,0.5,0.15,0.0,0.0
8,BECKEMO01,1946,Moe,Becker,PIT,N,17,0.0,6.35,0.0,0.0,0.0,0.82,0.0,0.0,0.0,2.94,13.47,2.71,1.76,0.94,0.0,0.0
9,BECKEMO01,1946,Moe,Becker,TOT,N,43,0.0,3.77,0.0,0.0,0.0,0.7,0.0,0.0,0.0,2.28,8.33,1.63,1.02,0.51,0.0,0.0
10,BEENDHA01,1946,Hank,Beenders,PRO,N,58,0.0,12.29,0.0,0.0,0.0,0.64,0.0,0.0,0.0,3.38,17.52,4.59,4.43,3.12,0.0,0.0
11,BIASAHA01,1946,Hank,Biasatti,TOR,N,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.83,0.33,0.67,0.33,0.0,0.0
12,BRIGHAL01,1946,Al,Brightman,BOS,N,58,0.0,9.78,0.0,0.0,0.0,1.03,0.0,0.0,0.0,1.98,15.0,3.84,3.33,2.09,0.0,0.0
13,BRINDAU01,1946,Audley,Brindley,NYK,N,12,0.0,2.83,0.0,0.0,0.0,0.08,0.0,0.0,0.0,1.33,4.08,1.17,0.58,0.5,0.0,0.0
14,BROWNHA01,1946,Harold,Brown,DE1,N,54,0.0,4.89,0.0,0.0,0.0,0.72,0.0,0.0,0.0,2.26,7.09,1.76,2.17,1.37,0.0,0.0
15,BROWNLE01,1946,Leon,Brown,CL1,N,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0
16,BYRNETO01,1946,Tommy,Byrnes,NYK,N,60,0.0,7.55,0.0,0.0,0.0,0.58,0.0,0.0,0.0,1.5,9.72,2.92,2.67,1.72,0.0,0.0
17,BYTZUMI01,1946,Mike,Bytzura,PIT,N,60,0.0,3.5,0.0,0.0,0.0,0.52,0.0,0.0,0.0,1.8,5.93,1.45,1.2,0.6,0.0,0.0
18,CALLATO01,1946,Tom,Callahan,PRO,N,13,0.0,1.31,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.69,2.23,0.46,0.92,0.38,0.0,0.0
19,CALVEER01,1946,Ernie,Calverley,PRO,N,59,0.0,14.32,0.0,0.0,0.0,3.42,0.0,0.0,0.0,3.24,18.68,5.47,4.8,3.37,0.0,0.0
20,CARLICH01,1946,Chet,Carlisle,CH1,N,51,0.0,5.02,0.0,0.0,0.0,0.33,0.0,0.0,0.0,2.67,7.31,1.96,1.8,1.1,0.0,0.0
21,CARLSDO01,1946,Don,Carlson,CH1,N,59,0.0,10.68,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.08,14.32,4.61,2.69,1.46,0.0,0.0
22,CLUGGMA01,1946,Marion,Cluggish,NYK,N,54,0.0,4.41,0.0,0.0,0.0,0.41,0.0,0.0,0.0,2.09,6.59,1.72,1.69,0.96,0.0,0.0
23,CONNOCH01,1946,Chuck,Connors,BOS,N,49,0.0,4.63,0.0,0.0,0.0,0.82,0.0,0.0,0.0,2.63,7.76,1.92,1.71,0.8,0.0,0.0
24,CORLEKE01,1946,Ken,Corley,CL1,N,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,CRISLHA01,1946,Hal,Crisler,BOS,N,4,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.5,0.5,0.5,0.0,0.0
26,CUREAR01,1946,Armand,Cure,PRO,N,12,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,1.25,0.33,0.25,0.17,0.0,0.0
